Date,총거래물량,총거래금액,평균단가,평균단가 편차,지역,작물명
2022-11-01,2387673.5,3127018400,1309.6507541755605,-559.0864885804481,대구,양파
2022-12-01,2482025.0,3089882200,1244.9037378753237,-494.33947228021134,대구,양파
2023-01-01,1910237.0,2211694000,1157.81130823034,-128.6980822678031,대구,양파
2023-02-01,2058188.0,2606771900,1266.537313403829,-237.42408744129216,대구,양파
2023-03-01,2741209.6,3416548800,1246.365400150357,-217.25217418781995,대구,양파
2023-04-01,3540027.6,4043867400,1142.3265174542707,-113.2132914917338,대구,양파
2023-05-01,5643002.0,6280945100,1113.0503054934236,-83.93707953088665,대구,양파
2023-06-01,7065024.3,5618828600,795.3020911761054,233.8111347864316,대구,양파
2023-07-01,3290949.4,2851011000,866.3186981847853,162.79452777775168,대구,양파
2023-08-01,436725.0,432593100,990.538897475528,38.57432848700898,대구,양파
2020-01-01,2946856.0,2380499400,807.8098828039103,84.70553430798554,대전,양파
2020-02-01,2820738.0,2802490210,993.5308454737732,72.93711427918515,대전,양파
2020-03-01,2691912.0,2660264800,988.2435978590682,59.16904486164469,대전,양파
2020-04-01,4174226.0,3602379110,863.005287686867,77.3529996682604,대전,양파
2020-05-01,4766306.0,3248563300,681.5683466399346,215.7677810272228,대전,양파
2020-06-01,4356519.0,2261576300,519.124626794925,369.9136537791149,대전,양파
2020-07-01,2959013.0,1816877600,614.0147407260462,254.0459223442682,대전,양파
2020-08-01,2911063.0,2466167500,847.1707757612941,41.014741547781,대전,양파
2020-09-01,3411461.5,3134352000,918.7710311255162,-127.76392736891432,대전,양파
2020-10-01,2938468.0,3081357600,1048.6272438563224,-195.3861814565587,대전,양파
2020-11-01,3515196.0,3968459200,1128.943933709529,-212.1913746415314,대전,양파
2020-12-01,2785443.0,3115211700,1118.3900370605322,-244.63460306794207,대전,양파
2021-01-01,2343256.0,3565849500,1521.7498642913963,-589.3873936261222,대전,양파
2021-02-01,1737419.0,3041920100,1750.8270025825664,-729.7244278621871,대전,양파
2021-03-01,2439082.5,3707964750,1520.2293280362596,-368.9272265968679,대전,양파
2021-04-01,4722515.0,3787219700,801.949744998163,105.03152577934134,대전,양파
2021-05-01,5510565.0,2890502400,524.5383005190938,320.1440016490393,대전,양파
2021-06-01,4030881.5,2113373000,524.2954921894876,305.9460485049574,대전,양파
2021-07-01,3025009.5,1617749800,534.7916428031052,304.6148829988938,대전,양파
2021-08-01,2964676.0,2159050040,728.2583459372963,188.8067087664232,대전,양파
2021-09-01,2720970.0,2228189125,818.895145848723,77.58231530850674,대전,양파
2021-10-01,3172462.0,2644086610,833.4494187794842,98.2482724381564,대전,양파
2021-11-01,3896148.0,3072026600,788.4779017634854,42.17925914007003,대전,양파
2021-12-01,2550841.0,1636988367,641.7445724762931,170.16791193489928,대전,양파
